domain,group_name,category
人文历史,历史,历史事件
人文历史,历史,历史人物
人文历史,历史,古代官职
人文历史,历史,战争类
人文历史,历史,政权类
人文历史,地理,传统村落
人文历史,地理,历史遗迹
人文历史,地理,可移动文物
人文历史,地理,地理标志
人文历史,地理,天文
人文历史,地理,山脉
人文历史,地理,景点景观
人文历史,地理,气旋
人文历史,地理,河流
人文历史,地理,湖泊
人文历史,地理,行政区划
人文历史,文学,传统文学体裁
人文历史,文学,古代诗文
人文历史,文学,外文诗文
人文历史,文学,姓氏
人文历史,文学,工具书
人文历史,文学,徽记
人文历史,文学,成语
人文历史,文学,文学作品
人文历史,文学,文学虚拟人物
人文历史,文学,文艺创作者
人文历史,文学,曲艺
人文历史,文学,服饰
人文历史,文学,汉字
人文历史,文学,现代诗文
人文历史,文学,相声作品
人文历史,文学,社科著作
人文历史,文学,神话形象
人文历史,文学,纪念币/钞
人文历史,文学,网络语言
人文历史,文学,节日
人文历史,文学,邮票
人文历史,文学,非遗
大文娱,ACGN,ACG作品
大文娱,ACGN,ACG物品
大文娱,ACGN,ACG组织
大文娱,ACGN,ACG角色
大文娱,ACGN,从业者
大文娱,ACGN,布袋戏
大文娱,ACGN,游戏
大文娱,体育,中国象棋术语
大文娱,体育,体育项目
大文娱,体育,俱乐部/运动队
大文娱,体育,奥运标志
大文娱,体育,武术套路
大文娱,体育,电子竞技
大文娱,体育,赛事
大文娱,体育,运动员
大文娱,娱乐人物,明星
大文娱,影视音综,古典音乐
大文娱,影视音综,奖项
大文娱,影视音综,影视
大文娱,影视音综,戏剧
大文娱,影视音综,戏曲
大文娱,影视音综,戏曲曲艺人物
大文娱,影视音综,演唱会
大文娱,影视音综,相声小品
大文娱,影视音综,节目
大文娱,影视音综,音乐
科技工程,交通,公交系统
科技工程,交通,公交线路
科技工程,交通,城市轨道交通系统
科技工程,交通,城轨交通车站
科技工程,交通,民用机场
科技工程,交通,港口（口岸）
科技工程,交通,轨道交通线路
科技工程,交通,铁路车站
科技工程,军事,军事装备
科技工程,军事,旗帜
科技工程,工程/航天,公路线路
科技工程,工程/航天,工法
科技工程,工程/航天,桥梁
科技工程,工程/航天,航天装备
科技工程,工程/航天,隧道
科技工程,科技,操作系统
科技工程,科技,标准物质
科技工程,科技,电子产品
科技工程,科技,电子产品发布会
科技工程,科技,科技赛事
科技工程,科技,软件
科教自然,动植物,作物育成品种
科教自然,动植物,动物
科教自然,动植物,动物病害
科教自然,动植物,植物
科教自然,动植物,植物病害
科教自然,动植物,生态学名词
科教自然,动植物,真菌
科教自然,化学,化学品
科教自然,学科专业,二级学院
科教自然,学科专业,会展
科教自然,学科专业,社会团体
科教自然,学科专业,高等学校专业
科教自然,学科专业,高等学校课程
科教自然,教育与科学研究,图书馆
科教自然,教育与科学研究,学校
科教自然,教育与科学研究,教学科研人物
科教自然,教育与科学研究,教育科研奖项与人才计划类
科教自然,教育与科学研究,科研平台
